Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$173.59,0.71,0.411%,2713946332880.00,United States,1980,35999542,Technology,Computer Manufacturing
ADBE,Adobe Inc. Common Stock,$547.95,6.99,1.292%,249481635000.00,United States,1986,1121522,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$165.86,-0.66,-0.396%,82650352742.00,United States,,1164364,Technology,Semiconductors
ADP,Automatic Data Processing Inc. Common Stock,$242.97,1.29,0.534%,100100449804.00,United States,,498464,Technology,EDP Services
ADSK,Autodesk Inc. Common Stock,$201.996,-0.694,-0.342%,43179398609.00,United States,,487110,Technology,Computer Software: Prepackaged Software
AMAT,Applied Materials Inc. Common Stock,$135.39,1.27,0.947%,113258318222.00,United States,1972,2112389,Technology,Industrial Machinery/Components
AMD,Advanced Micro Devices Inc. Common Stock,$102.2703,0.4603,0.452%,165235196734.00,United States,,33155554,Technology,Semiconductors
ANSS,ANSYS Inc. Common Stock,$279.32,-0.40,-0.143%,24242482510.00,United States,1996,178848,Technology,Computer Software: Prepackaged Software
APP,Applovin Corporation Class A Common Stock,$37.89,0.31,0.825%,13177976534.00,United States,2021,760442,Technology,EDP Services
ASML,ASML Holding N.V. New York Registry Shares,$591.17,11.07,1.908%,233269422101.00,Netherlands,1995,554301,Technology,Industrial Machinery/Components
AVGO,Broadcom Inc. Common Stock,$871.38,17.75,2.079%,359649463476.00,United States,2009,865352,Technology,Semiconductors
AZPN,Aspen Technology Inc. Common Stock,$180.60,-0.32,-0.177%,12029641386.00,United States,,73170,Technology,EDP Services
BIDU,Baidu Inc. ADS,$108.08,1.62,1.522%,37781868646.00,China,2005,1346661,Technology,Computer Software: Programming Data Processing
BSY,Bentley Systems Incorporated Class B Common Stock,$50.325,0.305,0.61%,14844177840.00,United States,2020,315020,Technology,Retail: Computer Software & Peripheral Equipment
CDNS,Cadence Design Systems Inc. Common Stock,$241.90,3.26,1.366%,65746001000.00,United States,,540021,Technology,Computer Software: Prepackaged Software
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,$132.97,-1.68,-1.248%,16057457200.00,Israel,1996,261406,Technology,Computer Software: Prepackaged Software
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$180.87,2.11,1.18%,43189621915.00,United States,2019,1735074,Technology,EDP Services
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$65.60,-0.14,-0.213%,33130715315.00,United States,1998,692804,Technology,EDP Services
DDOG,Datadog Inc. Class A Common Stock,$85.76,-0.32,-0.372%,27871953604.00,United States,2019,1757628,Technology,Computer Software: Prepackaged Software
EA,Electronic Arts Inc. Common Stock,$126.88,-0.56,-0.439%,34373271040.00,United States,,545375,Technology,Computer Software: Prepackaged Software
ENPH,Enphase Energy Inc. Common Stock,$97.45,-1.44,-1.456%,13287831099.00,United States,2012,4190455,Technology,Semiconductors
ENTG,Entegris Inc. Common Stock,$90.7401,0.0401,0.044%,13620840792.00,United States,2000,578145,Technology,Semiconductors
ERIC,Ericsson American Depositary Shares,$4.45,-0.04,-0.891%,14836975221.00,Sweden,,6119479,Technology,Radio And Television Broadcasting And Communications Equipment
FLEX,Flex Ltd. Ordinary Shares,$23.985,-0.135,-0.56%,10712347636.00,Singapore,1994,3712089,Technology,Electrical Products
FSLR,First Solar Inc. Common Stock,$153.65,2.88,1.91%,16414643688.00,United States,2006,871787,Technology,Semiconductors
FTNT,Fortinet Inc. Common Stock,$56.44,0.08,0.142%,44324416724.00,United States,2009,2103273,Technology,Computer peripheral equipment
GEHC,GE HealthCare Technologies Inc. Common Stock ,$64.27,0.22,0.343%,29232451950.00,United States,,1436883,Technology,Computer Software: Prepackaged Software
GEN,Gen Digital Inc. Common Stock,$17.055,-0.105,-0.612%,10905633902.00,United States,,1691372,Technology,Computer Software: Prepackaged Software
GFS,GlobalFoundries Inc. Ordinary Shares,$54.712,0.352,0.648%,29969045120.00,United States,2021,383856,Technology,Semiconductors
GOOG,Alphabet Inc. Class C Capital Stock,$138.90,2.16,1.58%,1751390100000.00,United States,2004,11471679,Technology,Computer Software: Programming Data Processing
GOOGL,Alphabet Inc. Class A Common Stock,$137.54,1.94,1.431%,1734241860000.00,United States,2004,14323221,Technology,Computer Software: Programming Data Processing
INTC,Intel Corporation Common Stock,$34.905,-0.015,-0.043%,146182140000.00,United States,,16443722,Technology,Semiconductors
INTU,Intuit Inc. Common Stock,$508.69,1.88,0.371%,142565201494.00,United States,1993,849691,Technology,Computer Software: Prepackaged Software
JKHY,Jack Henry & Associates Inc. Common Stock,$143.83,0.71,0.496%,10490259892.00,United States,1985,232732,Technology,Retail: Computer Software & Peripheral Equipment
KLAC,KLA Corporation Common Stock,$466.25,3.81,0.824%,63745734503.00,United States,1980,326746,Technology,Electronic Components
LOGI,Logitech International S.A. Ordinary Shares,$69.38,0.21,0.304%,11013222320.00,United States,1997,534004,Technology,Computer peripheral equipment
LRCX,Lam Research Corporation Common Stock,$604.5925,4.2425,0.707%,80115580587.00,United States,1984,468278,Technology,Industrial Machinery/Components
MANH,Manhattan Associates Inc. Common Stock,$187.395,-3.055,-1.604%,11556425151.00,United States,1998,322775,Technology,Computer Software: Prepackaged Software
MCHP,Microchip Technology Incorporated Common Stock,$75.14,-0.22,-0.292%,40901278250.00,United States,1993,1973892,Technology,Semiconductors
MDB,MongoDB Inc. Class A Common Stock,$345.06,-1.22,-0.352%,24618172852.00,United States,2017,496327,Technology,Computer Software: Prepackaged Software
META,Meta Platforms Inc. Class A Common Stock,$316.70,8.05,2.608%,811617235168.00,United States,2012,11904135,Technology,Computer Software: Programming Data Processing
MPWR,Monolithic Power Systems Inc. Common Stock,$419.533,-0.507,-0.121%,20044447674.00,United States,2004,344848,Technology,Semiconductors
MRVL,Marvell Technology Inc. Common Stock,$49.59,0.12,0.243%,42786252000.00,United States,2000,5254084,Technology,Semiconductors
MSFT,Microsoft Corporation Common Stock,$331.9536,5.2836,1.617%,2466336814667.00,United States,1986,13486320,Technology,Computer Software: Prepackaged Software
MU,Micron Technology Inc. Common Stock,$67.705,0.485,0.722%,74342423859.00,United States,,4937971,Technology,Semiconductors
NTAP,NetApp Inc. Common Stock,$73.96,-0.33,-0.444%,15442193824.00,United States,1995,824672,Technology,Electronic Components
NTES,NetEase Inc. American Depositary Shares,$101.11,0.49,0.487%,65188116338.00,China,,855507,Technology,Computer Software: Prepackaged Software
NVDA,NVIDIA Corporation Common Stock,$428.905,15.035,3.633%,1059395350000.00,United States,1999,33509174,Technology,Semiconductors
NXPI,NXP Semiconductors N.V. Common Stock,$184.80,-0.96,-0.517%,47641834363.00,Netherlands,2010,890530,Technology,Semiconductors
OKTA,Okta Inc. Class A Common Stock,$68.96,-6.61,-8.747%,11313020886.00,United States,2017,7907187,Technology,Computer Software: Prepackaged Software
ON,ON Semiconductor Corporation Common Stock,$84.50,-0.33,-0.389%,36464196613.00,United States,,2319601,Technology,Semiconductors
PANW,Palo Alto Networks Inc. Common Stock,$247.92,4.82,1.983%,76506774224.00,United States,,1439599,Technology,Computer peripheral equipment
PCTY,Paylocity Holding Corporation Common Stock,$190.825,1.555,0.822%,10671152113.00,United States,2014,110035,Technology,Computer Software: Prepackaged Software
PTC,PTC Inc. Common Stock,$136.8373,-0.9127,-0.663%,16260815744.00,United States,,251942,Technology,Computer Software: Prepackaged Software
QCOM,QUALCOMM Incorporated Common Stock,$110.16,1.53,1.408%,122938560000.00,United States,1991,2926844,Technology,Radio And Television Broadcasting And Communications Equipment
SMCI,Super Micro Computer Inc. Common Stock,$254.51,5.93,2.386%,13465092571.00,United States,2020,2104850,Technology,Computer Manufacturing
SNPS,Synopsys Inc. Common Stock,$471.665,4.025,0.861%,71732613545.00,United States,1992,441812,Technology,EDP Services
SPLK,Splunk Inc. Common Stock,$148.17,0.64,0.434%,24848109000.00,United States,2012,645517,Technology,Computer Software: Prepackaged Software
SSNC,SS&C Technologies Holdings Inc. Common Stock,$50.30,0.22,0.439%,12478845816.00,United States,2010,291660,Technology,EDP Services
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),$65.905,-0.785,-1.177%,13668251614.00,Ireland,2002,1071636,Technology,Electronic Components
SWKS,Skyworks Solutions Inc. Common Stock,$91.69,-0.50,-0.542%,14614705110.00,United States,,505026,Technology,Semiconductors
TEAM,Atlassian Corporation Class A Common Stock,$188.09,1.02,0.545%,48410729468.00,Australia,2015,594788,Technology,Computer Software: Prepackaged Software
TTD,The Trade Desk Inc. Class A Common Stock,$74.10,0.04,0.054%,36323701811.00,United States,2016,2351883,Technology,Computer Software: Programming Data Processing
TTWO,Take-Two Interactive Software Inc. Common Stock,$141.885,1.305,0.928%,24096438660.00,United States,1997,1632395,Technology,Computer Software: Prepackaged Software
TXN,Texas Instruments Incorporated Common Stock,$147.58,-0.23,-0.156%,133997670539.00,United States,,3028558,Technology,Semiconductors
VRSK,Verisk Analytics Inc. Common Stock,$231.015,-3.435,-1.465%,33503430424.00,United States,2009,444642,Technology,EDP Services
VRSN,VeriSign Inc. Common Stock,$207.725,-0.395,-0.19%,21423461335.00,United States,1998,198225,Technology,EDP Services
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,$366.095,4.235,1.17%,94487221297.00,United States,1991,688710,Technology,EDP Services
WDAY,Workday Inc. Class A Common Stock,$210.74,-0.42,-0.199%,55213880000.00,United States,,556702,Technology,EDP Services
WDC,Western Digital Corporation Common Stock,$42.25,-0.61,-1.423%,13600104352.00,United States,,1871854,Technology,Electronic Components
ZM,Zoom Video Communications Inc. Class A Common Stock,$61.60,-0.11,-0.178%,18538948366.00,United States,2019,1081364,Technology,Computer Software: Programming Data Processing
ZS,Zscaler Inc. Common Stock,$164.59,2.40,1.48%,24222508348.00,United States,2018,788947,Technology,EDP Services
